734,815,177
542,903,307
161,424,0
566,800,307
690,699,122
66,646,0
881,529,231
887,340,0
351,161,7
12,875,0
660,37,0
799,34,0
443,538,91
395,1010,116
928,165,0
1077,235,0
984,101,0
788,38,0
651,722,154
2,192,0
297,242,63
396,148,0
226,177,0
272,32,0
813,335,0
316,342,34
904,551,87
158,149,0
551,645,445
1076,25,0
208,743,14
926,804,365
74,229,0
158,396,0
425,591,106
6,4,0
5,348,0
762,896,329
597,165,0
460,450,223
567,3,0
282,1020,296
976,763,38
762,189,107
395,283,14
151,251,0
172,656,20
453,1059,199
123,652,0
252,95,0
574,56,0
462,771,208
110,333,0
341,342,28
122,762,0
906,342,0
274,861,12
639,396,130
882,77,0
693,735,78
650,380,179
712,6,0
613,53,0
107,334,0
228,358,0
302,1049,551
613,736,222
299,376,17
886,863,336
1019,318,0
191,659,12
895,558,123
246,684,30
194,649,24
793,1061,134
702,771,93
718,366,196
783,860,189
113,1027,0
570,1072,232
1004,837,0
531,22,0
230,616,35
94,712,0
1020,977,0
6,542,0
551,115,0
841,643,284
772,315,0
393,313,17
221,919,0
687,461,13
465,310,22
602,517,41
920,218,0
135,618,17
66,1029,0
391,390,23
640,483,51
810,102,74
439,329,44
476,660,123
538,284,25
447,159,0
978,40,0
84,428,0
594,34,0
363,73,0
305,376,28
713,589,69
358,648,20
1077,167,0
564,426,156
1009,774,0
559,348,109
1065,817,0
791,824,351
8,365,0
1032,188,0
512,999,221
1012,81,0
716,184,65
558,951,268
447,47,0
208,119,0
1035,446,0
682,795,110
780,330,0
48,194,0
850,992,131
181,889,0
844,941,86
670,1033,369
365,83,0
1006,846,0
873,249,0
198,585,101
962,595,0
711,1069,445
40,176,0
490,1021,124
180,310,0
216,341,0
531,33,0
575,128,0
511,285,50
570,853,324
37,616,0
19,1018,0
1074,294,0
173,730,10
378,156,0
899,651,315
805,884,224
146,926,0
459,195,0
313,886,166
476,182,0
353,806,69
163,713,0
81,313,0
738,516,24
1004,541,0
134,356,0
544,984,248
775,621,65
390,167,0
31,353,0
36,409,0
544,920,294
408,455,23
52,741,0
978,47,0
502,792,149
911,726,217
373,1070,302
304,680,8
98,570,0
757,44,0
187,381,0
1074,970,0
1060,94,0
318,1071,637
207,340,0
645,924,431
359,784,123
779,310,0
330,799,16
480,926,141
756,324,48
534,196,0
878,711,286
1042,78,0
486,827,152
75,275,0
86,22,0
806,891,217
679,637,123
952,507,0
651,105,0
990,975,1
298,783,12
484,567,386
857,892,358
146,715,0
1035,94,0
118,464,0
558,641,537
260,620,19
789,543,94
110,1018,0
834,632,298
161,933,0
872,395,0
177,282,0
106,62,0
208,931,0
501,465,123
792,904,138
899,501,142
94,893,0
805,326,0
25,173,0
82,905,0
465,488,84
121,469,0
742,814,228
446,271,0
226,165,0
508,598,494
565,916,306
152,613,146
752,860,173
239,257,9
689,682,81
24,453,0
293,691,13
48,653,0
334,952,355
757,761,465
894,949,205
827,869,350
1049,494,0
1081,367,0
460,270,0
539,57,0
629,711,245
1063,934,0
1046,1030,0
842,492,99
312,552,13
837,976,180
675,277,188
128,1043,0
980,701,12
70,718,0
238,56,0
161,70,0
281,822,15
132,446,0
998,756,0
169,716,18
691,420,84
162,44,0
555,778,196
35,285,0
157,1003,0
883,322,0
880,599,225
358,899,131
339,844,52
961,808,177
721,435,11
480,518,119
500,514,106
863,95,0
926,391,0
206,954,0
740,140,6
346,881,129
418,75,0
664,438,43
411,715,137
1063,855,0
942,148,0
843,287,0
535,173,0
360,209,35
144,1003,0
719,391,177
916,803,301
124,432,0
806,666,91
897,129,0
274,72,0
449,1007,138
16,324,0
618,209,0
420,928,42
897,916,291
584,77,0
280,681,12
502,438,193
7,1012,0
844,16,0
184,410,0
913,466,0
495,248,0
802,610,72
56,857,0
826,563,153
484,500,64
855,919,303
501,334,176
680,983,339
263,347,70
613,403,163
326,277,51
844,153,0
827,71,62
1077,32,0
904,338,0
695,551,50
52,981,0
382,636,77
756,1007,335
805,1069,186
825,258,0
232,441,11
986,218,0
36,21,0
998,269,0
158,165,0
1031,1065,0
210,616,65
604,426,45
914,983,14
539,552,166
979,772,18
117,761,0
1081,677,0
580,533,51
816,23,0
518,622,418
376,514,18
363,396,38
1055,114,0
973,147,0
395,709,71
475,937,135
164,502,0
580,286,79
932,493,0
537,934,258
599,23,0
925,140,0
393,643,100
420,982,237
574,447,55
463,953,76
538,203,0
452,313,9
279,391,70
869,99,0
192,277,0
364,252,23
908,521,93
1081,519,0
386,430,15
499,1047,89
968,761,108
561,747,262
341,654,21
83,935,0
583,69,0
912,60,0
771,84,0
981,525,0
52,815,0
740,435,13
863,576,219
191,756,0
132,739,0
482,879,194
166,949,0
854,623,322
441,148,0
741,756,299
667,459,32
72,921,0
86,969,0
19,1026,0
596,594,190
552,783,176
894,901,341
1054,227,0
991,913,75
760,508,104
205,207,0
779,605,56
119,53,0
604,305,187
1053,580,0
784,361,0
542,687,536
568,6,0
168,291,0
610,848,537
551,385,176
310,592,12
270,1058,236
579,270,20
607,33,0
139,962,0
423,642,77
1025,972,0
1008,275,0
651,302,179
475,198,0
697,1063,372
566,860,302
609,146,0
161,707,0
67,402,0
979,185,0
823,758,320
415,719,163
285,309,103
832,284,0
581,437,91
1006,71,0
711,796,114
811,952,84
58,757,0
51,860,0
871,955,126
344,628,16
446,281,0
63,189,0
39,892,0
865,1001,73
258,764,14
653,1066,489
258,605,26
982,494,0
338,410,12
286,432,57
647,1018,431
228,97,0
448,641,91
295,797,9
429,744,144
109,1065,0
638,982,325
1072,802,0
170,837,0
248,34,0
793,1031,148
688,959,338
396,406,15
1080,23,0
579,819,314
765,817,305
183,32,0
854,538,358
939,254,0
189,592,105
131,850,0
172,511,15
735,328,108
296,666,8
603,884,453
141,951,0
991,175,0
794,342,0
717,308,113
224,615,37
654,253,62
863,105,0
367,330,24
600,119,0
8,409,0
399,475,17
68,864,0
309,809,16
257,656,14
828,449,25
445,725,263
291,466,49
202,589,91
337,406,16
787,116,19
991,333,0
880,358,0
366,841,36
741,671,63
1050,807,0
